Date,MSFT,AAPL,AMZN,FB,JPM,GOOGL,GOOG,JNJ,V,PG,XOM,T,BAC,UNH,MA,DIS,INTC,VZ,HD,MRK,CVX,PFE,KO,WFC,CMCSA,CSCO,PEP,BA,C,WMT,ADBE,ABT,MDT,BMY,MCD,CRM,NVDA,NFLX,AMGN,ACN,PM,ABBV,TMO,COST,PYPL,NKE,HON,UNP,AVGO,UTX
2010-01-04,38409100.0,493729600.0,151998000.0,,35460500.0,78169752.0,78541293.0,9506200.0,20180000.0,9190800.0,27809100.0,38576858.0,180845200.0,12199500.0,9321000.0,13700400.0,47800900.0,16176648.0,13120900.0,14563532.0,10173800.0,54898644.0,13870400.0,39335700.0,27146800.0,59853700.0,6585900.0,6186700.0,40679350.0,20753100.0,4710200.0,10829095.0,6109400.0,14376100.0,5839300.0,7906000.0,80020400.0,17239600.0,5277400.0,3650100.0,7844500.0,,7182800.0,3280200.0,,11972400.0,7750615.0,5894200.0,538700.0,
2010-01-05,49749600.0,601904800.0,177038000.0,,41208300.0,120067812.0,120638494.0,10673100.0,25833600.0,8649400.0,30174700.0,46650478.0,209521300.0,11180700.0,12906000.0,10307700.0,52357700.0,23722957.0,15594300.0,15452550.0,10593700.0,45714931.0,23172400.0,55416000.0,35493000.0,45124500.0,8886000.0,8867800.0,66861710.0,15648400.0,7108800.0,10562109.0,6568600.0,16973600.0,7099000.0,7942400.0,72864800.0,23753100.0,7882800.0,2613000.0,7168600.0,,3221900.0,2775800.0,,6275200.0,6796106.0,6737000.0,301100.0,
2010-01-06,58182400.0,552160000.0,143576000.0,,27729000.0,158988852.0,159744526.0,13171500.0,16254000.0,9908400.0,35044700.0,50172450.0,205257900.0,9761100.0,10785000.0,10709500.0,40037400.0,37506464.0,8833200.0,15971415.0,11014600.0,43640975.0,19264600.0,33237000.0,27741400.0,35715700.0,9998000.0,8836500.0,67433890.0,12517200.0,5336400.0,11401417.0,7470700.0,15528900.0,10551300.0,5122400.0,64916800.0,23290400.0,6015100.0,5772100.0,11777200.0,,3065000.0,3722900.0,,13399200.0,6209345.0,5363800.0,533100.0,
2010-01-07,50559700.0,477131200.0,220604000.0,,44864700.0,256315428.0,257533695.0,10901600.0,27841200.0,8972800.0,27192100.0,44486797.0,320868400.0,11789800.0,11273000.0,8202100.0,54041500.0,25508242.0,12058200.0,12488597.0,9626900.0,41557112.0,13234600.0,61649000.0,30214800.0,31531200.0,10792000.0,14379100.0,67245190.0,10662700.0,5576700.0,12857232.0,6895200.0,15761700.0,7517700.0,4840000.0,54779200.0,9955400.0,10371600.0,4022900.0,8905400.0,,2638300.0,4527600.0,,7187600.0,10266533.0,5040400.0,271800.0,
2010-01-08,51197400.0,447610800.0,196610000.0,,33110100.0,188783028.0,189680313.0,7898000.0,11907200.0,8464600.0,24891800.0,36586622.0,220104700.0,7228700.0,8635000.0,7657500.0,48234700.0,20658308.0,15609800.0,11283921.0,5624300.0,32049716.0,28712400.0,35508700.0,25454000.0,39115900.0,8674700.0,7146600.0,62409770.0,11363200.0,5429200.0,12148604.0,4947200.0,18730800.0,6107300.0,5510400.0,47816800.0,8180900.0,6576000.0,5069700.0,6580800.0,,3162200.0,2348300.0,,7249600.0,7158504.0,7691200.0,289900.0,
2010-01-11,68754700.0,462229600.0,175588000.0,,31878700.0,288227484.0,289597429.0,7975700.0,12912000.0,14774600.0,30685000.0,34147549.0,168991600.0,7206900.0,11171000.0,11250500.0,51086400.0,21974989.0,23670500.0,10041726.0,11916800.0,34199665.0,28642400.0,24387800.0,38109200.0,35852900.0,6461200.0,5624900.0,47557650.0,13987700.0,4901400.0,10947270.0,4339400.0,14106100.0,6081300.0,6399200.0,55661200.0,6783700.0,4062700.0,4231900.0,6090900.0,,2844500.0,1830400.0,,10678000.0,5366649.0,6118600.0,512700.0,
2010-01-12,65912100.0,594459600.0,181926000.0,,47109600.0,193937868.0,194859654.0,10820700.0,12842000.0,13460700.0,31496700.0,34831527.0,223486800.0,13121500.0,8595000.0,14618300.0,69958400.0,14407568.0,23075800.0,11445942.0,12175200.0,43501847.0,23269800.0,39795000.0,36282000.0,35780400.0,9081800.0,5273800.0,47011810.0,15117000.0,5073900.0,10939350.0,4321600.0,11940500.0,7199400.0,21053200.0,62743200.0,6330100.0,11268300.0,5557100.0,6752900.0,,3253600.0,2113300.0,,11485600.0,4730065.0,6647000.0,916700.0,
2010-01-13,51863500.0,605892000.0,214464000.0,,39622000.0,259604136.0,260838034.0,13023800.0,13428800.0,16968100.0,24884400.0,56390352.0,192609900.0,8797200.0,8585000.0,9620600.0,71446700.0,17108741.0,15639100.0,26593419.0,10842200.0,62728072.0,15157400.0,36715300.0,31533800.0,43683900.0,7380100.0,4950400.0,41035110.0,13290700.0,3660100.0,10538975.0,3999800.0,14428100.0,8623000.0,20649600.0,50886800.0,14422100.0,5056200.0,4496800.0,5926400.0,,2890300.0,2051500.0,,5648800.0,4298333.0,7353000.0,943900.0,
2010-01-14,63228100.0,432894000.0,195498000.0,,37938300.0,169434396.0,170239717.0,7899000.0,18379600.0,9139500.0,18630800.0,55933836.0,142634200.0,8818300.0,12433000.0,9235600.0,150821600.0,23054221.0,13208200.0,23081466.0,6721000.0,49820367.0,12392600.0,31540700.0,34823600.0,52302100.0,7211600.0,3000400.0,27417030.0,13772000.0,4536200.0,8982493.0,4260600.0,11354600.0,7095600.0,10400400.0,60852400.0,17685500.0,4668900.0,3312500.0,4602200.0,,1885800.0,2145700.0,,7311600.0,3598395.0,6153600.0,1065400.0,
2010-01-15,79913200.0,594067600.0,307530000.0,,69738500.0,217162620.0,218194794.0,20995000.0,21295200.0,15768300.0,29411900.0,84760229.0,195117100.0,19382000.0,19419000.0,13936400.0,198078600.0,46642300.0,23013500.0,21854258.0,13482300.0,80760537.0,27460800.0,47255900.0,43236000.0,51648100.0,8361200.0,5067300.0,54017740.0,19087500.0,6732300.0,16132555.0,5663300.0,13449500.0,9429100.0,8564800.0,81819200.0,13031200.0,7240000.0,4734200.0,8269200.0,,5187800.0,3081700.0,,11293200.0,6009527.0,8678000.0,158700.0,
